switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
1,1,2,800,2,1,3,3997031,228195450038,75,5,0,1
6,1,2,800,2,1,1,3997030,228195449964,75,5,0,1
5,1,2,800,2,1,5,4087375,233356284366,77,5,0,1
1,1,2,800,2,1,3,4087375,233356284366,77,5,0,1
6,1,2,800,2,1,1,4087374,233356284292,77,5,0,1
5,1,2,800,2,1,5,4168111,237967567182,79,5,0,1
1,1,2,800,2,1,3,4168111,237967567182,79,5,0,1
6,1,2,800,2,1,1,4168110,237967567108,79,5,0,1
5,1,2,800,2,1,5,4273900,244007110384,81,5,0,1
1,1,2,800,2,1,3,4273900,244007110384,81,5,0,1
6,1,2,800,2,1,1,4273899,244007110310,81,5,0,1
5,1,2,800,2,1,5,4353670,248564665116,83,5,0,1
1,1,2,800,2,1,3,4353670,248564665116,83,5,0,1
6,1,2,800,2,1,1,4353669,248564665042,83,5,0,1
5,1,2,800,2,1,5,4444833,253770200002,85,5,0,1
1,1,2,800,2,1,3,4444833,253770200002,85,5,0,1
6,1,2,800,2,1,1,4444832,253770199928,85,5,0,1
5,1,2,800,2,1,5,4523445,258261592042,87,5,0,1
1,1,2,800,2,1,3,4523445,258261592042,87,5,0,1
6,1,2,800,2,1,1,4523444,258261591968,87,5,0,1
5,1,2,800,2,1,5,4600904,262534721112,89,5,0,1
1,1,2,800,2,1,3,4600904,262534721112,89,5,0,1
6,1,2,800,2,1,1,4600903,262534721038,89,5,0,1
5,1,2,800,2,1,5,4679961,267052838482,91,5,0,1
1,1,2,800,2,1,3,4679961,267052838482,91,5,0,1
6,1,2,800,2,1,1,4679960,267052838408,91,5,0,1
5,1,2,800,2,1,5,4786346,273126410828,93,5,0,1
1,1,2,800,2,1,3,4786346,273126410828,93,5,0,1
6,1,2,800,2,1,1,4786345,273126410754,93,5,0,1
5,1,2,800,2,1,5,4900026,279615827244,95,5,0,1
1,1,2,800,2,1,3,4900026,279615827244,95,5,0,1
6,1,2,800,2,1,1,4900025,279615827170,95,5,0,1
5,1,2,800,2,1,5,4975083,283904491094,97,5,0,1
1,1,2,800,2,1,3,4975083,283904491094,97,5,0,1
6,1,2,800,2,1,1,4975082,283904491020,97,5,0,1
5,1,2,800,2,1,5,5044263,287856058814,99,5,0,1
1,1,2,800,2,1,3,5044263,287856058814,99,5,0,1
6,1,2,800,2,1,1,5044262,287856058740,99,5,0,1
5,1,2,800,2,1,5,5143813,293540863698,101,5,0,1
1,1,2,800,2,1,3,5143813,293540863698,101,5,0,1
6,1,2,800,2,1,1,5143812,293540863624,101,5,0,1
5,1,2,800,2,1,5,5258374,300080649564,103,5,0,1
1,1,2,800,2,1,3,5258374,300080649564,103,5,0,1
6,1,2,800,2,1,1,5258373,300080649490,103,5,0,1
5,1,2,800,2,1,5,5371401,306534550250,105,5,0,1
1,1,2,800,2,1,3,5371401,306534550250,105,5,0,1
6,1,2,800,2,1,1,5371400,306534550176,105,5,0,1
5,1,2,800,2,1,5,5482689,312887424882,107,5,0,1
1,1,2,800,2,1,3,5482689,312887424882,107,5,0,1
6,1,2,800,2,1,1,5482688,312887424808,107,5,0,1
5,1,2,800,2,1,5,5593443,319210546294,109,5,0,1
1,1,2,800,2,1,3,5593443,319210546294,109,5,0,1
6,1,2,800,2,1,1,5593442,319210546220,109,5,0,1
5,1,2,800,2,1,5,5679899,324149054982,111,5,0,1
1,1,2,800,2,1,3,5679899,324149054982,111,5,0,1
6,1,2,800,2,1,1,5679898,324149054908,111,5,0,1
5,1,2,800,2,1,5,5752791,328313773558,113,5,0,1
1,1,2,800,2,1,3,5752791,328313773558,113,5,0,1
6,1,2,800,2,1,1,5752790,328313773484,113,5,0,1
5,1,2,800,2,1,5,5849126,333814342596,115,5,0,1
1,1,2,800,2,1,3,5849126,333814342596,115,5,0,1
6,1,2,800,2,1,1,5849125,333814342522,115,5,0,1
5,1,2,800,2,1,5,5962327,340276831886,117,5,0,1
1,1,2,800,2,1,3,5962327,340276831886,117,5,0,1
6,1,2,800,2,1,1,5962326,340276831812,117,5,0,1
