Step; State; Reward
102; [[ 0.3445 11.26    0.      0.3447  0.      0.     11.61   11.62    0.3447   0.      0.      0.      0.      0.      0.      0.    ]]; [980.86847]
103; [[ 0.3445 11.26    0.      0.3447  0.      0.     11.61   11.62    0.3447   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
104; [[ 0.2043 11.13    0.      0.2043  0.      0.      9.21    9.21    0.2043   0.      0.      0.      0.      0.      0.      0.    ]]; [679.19244]
105; [[0.29   9.945  0.     0.2903 0.     0.     9.164  9.17   0.2903 0.  0.     0.     0.     0.     0.     0.    ]]; [658.197]
106; [[0.1736 9.766  0.     0.1736 0.     0.     9.28   9.266  0.1736 0.  0.     0.     0.     0.     0.     0.    ]]; [657.09125]
107; [[ 0.518   8.484   0.      0.5176  0.      0.     11.445  11.42    0.518   0.      0.      0.      0.      0.      0.      0.    ]]; [904.03546]
108; [[ 0.1515 13.2     0.      0.1519  0.      0.      9.23    9.22    0.1516   0.      0.      0.      0.      0.      0.      0.    ]]; [714.69037]
109; [[2.8027e-01 1.1336e+01 1.4305e-04 2.7979e-01 1.4305e-04 1.4305e-04  1.1617e+01 1.1633e+01 2.8003e-01 1.4305e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [978.47205]
110; [[ 0.1814 11.5     0.      0.1813  0.      0.      9.16    9.164   0.1813   0.      0.      0.      0.      0.      0.      0.    ]]; [678.8189]
111; [[2.0032e-01 9.6797e+00 1.1444e-04 2.0020e-01 1.1444e-04 1.1444e-04  9.1719e+00 9.1641e+00 2.0020e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [646.5598]
112; [[ 0.426  12.98    0.      0.4272  0.      0.     11.63   11.61    0.4268   0.      0.      0.      0.      0.      0.      0.    ]]; [1028.5815]
113; [[2.0654e-01 9.7578e+00 1.1444e-04 2.0605e-01 1.1444e-04 1.1444e-04  9.4141e+00 9.3906e+00 2.0593e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [673.1206]
114; [[0.371  4.863  0.     0.3716 0.     0.     6.598  6.656  0.3716 0.  0.     0.     0.     0.     0.     0.    ]]; [345.90253]
115; [[2.5122e-01 1.5906e+01 1.4305e-04 2.5073e-01 1.4305e-04 1.4305e-04  1.0758e+01 1.0734e+01 2.5098e-01 1.4305e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [964.48926]
116; [[2.5122e-01 1.5906e+01 1.4305e-04 2.5073e-01 1.4305e-04 1.4305e-04  1.0758e+01 1.0734e+01 2.5098e-01 1.4305e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
117; [[0.2073 9.78   0.     0.2074 0.     0.     9.44   9.44   0.2073 0.  0.     0.     0.     0.     0.     0.    ]]; [677.8498]
118; [[0.2073 9.78   0.     0.2074 0.     0.     9.44   9.44   0.2073 0.  0.     0.     0.     0.     0.     0.    ]]; [0.]
119; [[4.2163e-01 1.3602e+01 1.4305e-04 4.2188e-01 1.4305e-04 1.4305e-04  1.1766e+01 1.1758e+01 4.2188e-01 1.4305e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1062.6039]
120; [[0.2047 9.75   0.     0.2047 0.     0.     9.414  9.39   0.2047 0.  0.     0.     0.     0.     0.     0.    ]]; [672.7055]
121; [[5.0928e-01 1.2070e+01 1.1444e-04 5.0928e-01 1.1444e-04 1.1444e-04  9.4531e+00 9.4297e+00 5.0928e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [744.2259]
122; [[5.0928e-01 1.2070e+01 1.1444e-04 5.0928e-01 1.1444e-04 1.1444e-04  9.4531e+00 9.4297e+00 5.0928e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
123; [[0.1865 9.82   0.     0.1865 0.     0.     9.34   9.32   0.1865 0.  0.     0.     0.     0.     0.     0.    ]]; [664.7471]
124; [[5.0098e-01 7.9180e+00 1.1444e-04 5.0098e-01 1.1444e-04 1.1444e-04  9.3359e+00 9.3438e+00 5.0098e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [651.7617]
125; [[5.0098e-01 7.9180e+00 1.1444e-04 5.0098e-01 1.1444e-04 1.1444e-04  9.3359e+00 9.3438e+00 5.0098e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
126; [[ 0.1935 13.26    0.      0.1937  0.      0.      9.375   9.34    0.1937   0.      0.      0.      0.      0.      0.      0.    ]]; [733.90155]
127; [[ 0.2556 12.35    0.      0.2556  0.      0.     11.73   11.72    0.2556   0.      0.      0.      0.      0.      0.      0.    ]]; [1013.3854]
128; [[ 0.376 11.35   0.     0.376  0.     0.     9.22   9.305  0.376  0.   0.     0.     0.     0.     0.     0.   ]]; [704.5212]
129; [[0.2168 9.625  0.     0.2167 0.     0.     9.41   9.414  0.2167 0.  0.     0.     0.     0.     0.     0.    ]]; [673.37726]
