agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A,8,46124,200,200.0,6992.0,1124.0,1.49,1
A,8,46122,200,200.0,5483.0,1262.0,1.33,4
A,8,46124,200,200.0,4867.0,1409.0,1.19,0
A,8,46120,200,201.0,4853.0,1006.0,1.68,3
A,8,46124,200,200.0,3922.0,1400.0,1.2,4
A,8,46122,200,200.0,5406.0,1116.0,1.5,0
A,8,46122,200,201.0,7499.0,1182.63,1.43,1
A,8,46120,200,200.0,7298.0,1196.0,1.41,2
A,8,46120,200,200.0,4299.0,1365.0,1.23,0
A,8,46122,200,201.0,7764.0,1338.0,1.26,3
A,8,46122,200,200.0,15702.0,1083.0,1.55,2
A,8,46120,200,200.0,7209.0,1379.0,1.22,1
A,8,46124,500,500.0,6823.0,3421.0,1.23,3
A,8,46120,500,501.0,83643.0,2838.0,1.48,4
A,8,46124,500,501.0,69349.0,2650.0,1.59,2
A,8,46122,500,500.0,57929.0,3358.0,1.25,4
A,8,46124,500,500.0,12544.0,3481.0,1.21,0
A,8,46124,500,500.0,71345.0,2635.0,1.59,1
A,8,46122,500,501.0,92548.0,2426.0,1.73,1
A,8,46120,500,500.0,38300.0,2770.0,1.52,2
A,8,46120,500,500.0,6774.0,3333.0,1.26,3
A,8,46124,500,501.0,83578.0,2968.0,1.41,4
A,8,46122,500,500.0,10304.0,3502.0,1.2,0
A,8,46122,500,501.0,56125.0,2072.94,2.03,2
A,8,46120,500,501.0,70143.0,2978.0,1.41,1
A,8,46120,500,500.0,5991.0,3514.0,1.19,0
A,8,46122,500,500.0,6879.0,3251.0,1.29,3
A,8,46118,500,500.0,23897.0,1571.0,2.67,2
A,8,46118,500,501.0,5068.0,3504.0,1.2,3
A,8,46118,500,500.0,70095.0,1920.11,2.19,1
A,8,46118,500,500.0,10960.0,3649.0,1.15,0
A,8,46118,500,500.0,91913.0,2939.0,1.43,4
A,8,46110,500,500.0,50502.0,718.0,5.84,0
A,8,46116,500,500.0,95772.0,1485.0,2.82,4
A,8,46112,500,500.0,6178.0,3442.0,1.22,3
A,8,46112,500,501.0,73772.0,3016.69,1.39,2
A,8,46110,500,500.0,61447.0,2180.0,1.92,1
A,8,46110,500,500.0,6074.0,3162.0,1.33,3
A,8,46114,500,500.0,95424.0,2800.0,1.5,4
A,8,46112,500,500.0,9159.0,3514.0,1.19,0
A,8,46112,500,501.0,77794.0,2722.35,1.54,1
A,8,46110,500,500.0,74068.0,1822.0,2.3,2
A,8,46114,500,501.0,71451.0,2615.0,1.61,1
A,8,46116,500,500.0,55092.0,1864.0,2.25,2
A,8,46112,500,500.0,114487.0,2290.0,1.83,4
A,8,46116,500,500.0,6073.0,3443.0,1.22,3
A,8,46114,500,500.0,7918.0,3632.0,1.16,0
A,8,46114,500,500.0,70945.0,2049.0,2.05,2
A,8,46116,500,501.0,58130.0,2218.0,1.89,1
A,8,46116,500,500.0,6972.0,3516.0,1.19,0
A,8,46114,500,501.0,5287.0,3516.0,1.2,3
A,8,46110,500,501.0,71414.0,3305.0,1.27,4
B,2,46110,10,10.6,2.0,12.0,7.41,4
B,2,46110,10,10.0,0.0,9.96,8.42,3
B,2,46110,10,10.5,472.0,18.81,4.68,2
B,2,46110,10,10.8,96.0,15.0,6.05,0
B,2,46110,10,10.9,0.0,11.0,8.34,1
B,2,46112,10,11.1,0.0,13.0,7.14,4
B,2,46112,10,10.4,839.0,24.0,3.65,0
B,2,46112,10,10.5,390.0,16.0,5.5,1
B,2,46112,10,11.2,717.0,18.5,5.07,3
B,2,46112,10,10.6,393.0,17.0,5.21,2
B,2,46112,50,50.2,1774.0,119.0,3.54,4
B,2,46112,50,50.5,1735.0,98.0,4.32,3
B,2,46112,50,51.1,1068.0,73.0,5.87,2
B,2,46112,50,51.2,2490.0,65.0,6.6,0
B,2,46112,50,50.5,2409.0,88.0,4.82,1
B,2,46110,50,50.4,1449.0,54.0,7.82,4
B,2,46110,50,50.5,1357.0,87.0,4.87,0
B,2,46110,50,50.3,3011.0,49.5,8.52,1
