Step; State; Reward
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
141; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
142; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
143; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
144; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
145; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
146; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
147; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
148; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
149; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
150; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
151; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
152; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
153; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
154; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
155; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
156; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
157; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
158; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
159; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
160; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
161; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
162; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
163; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
164; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
165; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
166; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
167; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
168; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
169; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
170; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
171; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
172; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
173; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
174; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
175; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
176; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
177; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
178; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
179; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
180; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
181; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
182; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
183; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
184; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
185; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
186; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
