Step; State; Reward
0; [[0.1788 9.625  0.     0.1786 0.     0.     9.445  9.445  0.1786 9.445
59; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
60; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
61; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
62; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
63; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
64; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
65; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
66; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
67; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
68; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
69; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
70; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
71; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
72; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
73; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
74; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
75; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
76; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
77; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
78; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
79; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
80; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
81; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
82; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
83; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
84; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
85; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
86; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
87; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
88; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
89; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
90; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
91; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
92; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
93; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
94; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
95; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
96; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
97; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
98; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
99; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
100; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
101; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
102; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
103; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
104; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
105; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
106; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
107; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
108; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
109; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
110; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
111; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
112; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
113; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
114; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
115; [[ 0.271  10.79    0.      0.2712  0.      0.     10.914  10.21    0.271
  10.21   10.21    0.      0.      0.      0.      0.    ]]; [0.]
116; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
117; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
118; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
119; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
120; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
