Step; State; Reward
Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
Step; State; Reward
Step; State; Reward
Step; State; Reward
101; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
102; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
103; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
104; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
105; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
106; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
107; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
108; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
109; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
110; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
111; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
112; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
113; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
114; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
115; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
116; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
117; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
118; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
119; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
120; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
121; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
122; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
123; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
124; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
125; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
126; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
127; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
128; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
129; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
130; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
131; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
132; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
133; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
134; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
135; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
136; [[1.7285e+00 1.0305e+01 1.4305e-04 1.6963e+00 1.4305e-04 1.3574e+00
  8.4922e+00 1.0070e+01 1.6279e+00 8.7422e+00 7.3398e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.3574e+00]]; [0.]
