Step; State; Reward
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
63; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
64; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
65; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
66; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
67; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
68; [[5.2441e-01 1.2172e+01 1.4305e-04 5.4004e-01 1.4305e-04 1.4305e-04
  1.0617e+01 1.0984e+01 5.3564e-01 1.0984e+01 1.0984e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.00329272]
69; [[0.3445 9.91   0.     0.3445 0.     0.     9.375  9.38   0.3447 9.38
  9.38   0.     0.     0.     0.     0.    ]]; [0.]
70; [[2.7441e-01 1.0148e+01 1.1444e-04 2.7417e-01 1.1444e-04 1.1444e-04
  9.4453e+00 9.4453e+00 2.7417e-01 9.4453e+00 9.4453e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.0022251]
71; [[0.3765 9.195  0.     0.3757 0.     0.     9.445  9.445  0.3757 9.445
  9.445  0.     0.     0.     0.     0.    ]]; [0.]
72; [[3.879e-01 1.257e+01 1.431e-04 4.058e-01 1.431e-04 1.431e-04 1.188e+01
  1.188e+01 4.058e-01 9.023e+00 9.023e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.00350918]
73; [[0.3584 8.836  0.     0.4065 0.     0.     9.39   9.39   0.4065 7.277
  7.277  0.     0.     0.     0.     0.    ]]; [0.]
74; [[4.197e-01 1.177e+01 1.431e-04 4.197e-01 1.431e-04 1.431e-04 1.188e+01
  1.190e+01 4.194e-01 9.383e+00 9.383e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.0035227]
75; [[ 2.004 12.81   0.     2.004  0.     1.433 10.41  12.56   2.004 11.59
  10.164  0.     0.     0.     0.     1.433]]; [0.]
76; [[2.5000e-01 9.4688e+00 1.1444e-04 2.5000e-01 1.1444e-04 1.1444e-04
  9.4141e+00 9.2266e+00 2.5000e-01 6.5703e+00 6.5703e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00216929]
77; [[ 0.2908 12.92    0.      0.2908  0.      0.     11.805  11.805   0.2908
   8.6     8.6     0.      0.      0.      0.      0.    ]]; [0.]
78; [[0.374 9.83  0.    0.374 0.    0.    9.47  9.46  0.374 7.016 7.016 0.
  0.    0.    0.    0.   ]]; [0.]
79; [[0.214  9.766  0.     0.213  0.     0.     9.37   9.37   0.2129 6.93
  6.93   0.     0.     0.     0.     0.    ]]; [0.]
80; [[0.392  9.29   0.     0.3972 0.     0.     9.1    9.11   0.3972 6.836
  6.836  0.     0.     0.     0.     0.    ]]; [0.]
81; [[ 0.2817 12.34    0.      0.2935  0.      0.     11.836  11.94    0.2957
   6.96    6.96    0.      0.      0.      0.      0.    ]]; [0.]
82; [[ 0.4612 11.73    0.      0.4644  0.      0.     11.71   11.58    0.4644
   5.883   5.883   0.      0.      0.      0.      0.    ]]; [0.]
83; [[0.2291 9.9    0.     0.2291 0.     0.     9.5    9.49   0.2291 4.883
  4.883  0.     0.     0.     0.     0.    ]]; [0.]
84; [[0.2942 9.59   0.     0.2942 0.     0.     9.445  9.45   0.294  4.773
  4.773  0.     0.     0.     0.     0.    ]]; [0.]
85; [[4.353e-01 1.243e+01 1.431e-04 4.355e-01 1.431e-04 1.431e-04 1.172e+01
  1.172e+01 4.355e-01 5.996e+00 5.996e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.00347597]
86; [[ 0.2678 12.41    0.      0.267   0.      0.     11.8    11.8     0.2668
   5.81    5.81    0.      0.      0.      0.      0.    ]]; [0.]
87; [[3.7939e-01 9.3438e+00 1.1444e-04 3.7793e-01 1.1444e-04 1.1444e-04
  9.3594e+00 9.2266e+00 3.7817e-01 4.6523e+00 4.6523e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.0021985]
88; [[0.22   9.8    0.     0.224  0.     0.     9.46   9.47   0.2239 5.992
  5.992  0.     0.     0.     0.     0.    ]]; [0.]
89; [[3.8403e-01 9.6797e+00 1.1444e-04 4.0039e-01 1.1444e-04 1.1444e-04
  9.4531e+00 9.4531e+00 4.0039e-01 5.4297e+00 5.4297e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00225164]
90; [[ 0.384  12.01    0.      0.406   0.      0.     11.81   11.5     0.3906
   4.51    4.51    0.      0.      0.      0.      0.    ]]; [0.]
91; [[2.1082e-01 1.0039e+01 1.1444e-04 2.1069e-01 1.1444e-04 1.1444e-04
  9.4453e+00 9.4531e+00 2.1082e-01 3.6230e+00 3.6230e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00221151]
92; [[0.3984 9.52   0.     0.3975 0.     0.     9.34   9.41   0.399  3.795
  3.795  0.     0.     0.     0.     0.    ]]; [0.]
93; [[6.0117e+00 9.2812e+00 5.8438e+00 6.0781e+00 1.1444e-04 1.1444e-04
  9.4375e+00 1.5336e+01 6.2852e+00 3.9648e+00 9.8516e+00 1.1444e-04
  1.1444e-04 5.9492e+00 1.1444e-04 1.1444e-04]]; [0.00651317]
94; [[ 9.43  10.61   8.87   9.39   0.     0.     9.414 18.23   9.23   4.125
  12.96   0.     0.     8.84   0.     0.   ]]; [0.]
95; [[8.7891e+00 9.6641e+00 9.6953e+00 9.2188e+00 1.1444e-04 1.1444e-04
  9.3672e+00 1.8125e+01 9.1719e+00 4.2539e+00 1.3047e+01 1.1444e-04
  1.1444e-04 9.0469e+00 1.1444e-04 1.1444e-04]]; [0.00821208]
96; [[ 9.414  9.67  11.31   9.37   0.     0.     9.34  18.84   9.83   4.14
  13.55   0.     0.     9.37   0.     0.   ]]; [0.]
97; [[1.0711e+01 1.1914e+01 9.0625e+00 1.1047e+01 1.4305e-04 1.4305e-04
  1.1023e+01 2.1859e+01 1.1789e+01 3.5723e+00 1.4242e+01 1.4305e-04
  1.4305e-04 1.1055e+01 1.4305e-04 1.4305e-04]]; [0.01242474]
98; [[ 9.234  13.49    3.514   7.613   0.      0.     11.76   17.95    7.133
   3.691   9.86    0.8345  0.      5.145   0.      0.    ]]; [0.]
99; [[9.2891e+00 9.2188e+00 1.0234e+00 5.1172e+00 1.1444e-04 1.1444e-04
  1.2391e+01 1.0547e+01 1.6816e+00 7.4570e+00 8.5156e+00 4.1133e+00
  2.9062e+00 1.0508e+00 1.1444e-04 1.1444e-04]]; [0.00907909]
100; [[ 6.49    8.74    0.      2.795   0.      0.     11.7     9.49    0.5796
   6.297   6.297   3.691   2.215   0.      0.      0.    ]]; [0.]
101; [[8.5234e+00 1.0336e+01 1.1444e-04 1.8818e+00 1.1444e-04 1.1444e-04
  1.0836e+01 9.5156e+00 5.6299e-01 8.0156e+00 8.0156e+00 6.6406e+00
