Step; State; Reward
97; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
98; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
99; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
100; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
101; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
102; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
103; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
104; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
105; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
106; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
107; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
108; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
109; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
110; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
111; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
112; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
113; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
114; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
