Step; State; Reward
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
98; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
99; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
100; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
101; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
102; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
103; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
104; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
105; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
106; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
107; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
108; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
109; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
110; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
111; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
112; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
113; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
114; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
115; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
116; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
117; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
118; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
119; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
120; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
121; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
122; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
123; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
124; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
125; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
126; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
127; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
128; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
129; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
130; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
131; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
132; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
133; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
134; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
135; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
136; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
