agent, num_iperfs, port_number, original_size, transfered, retries, flow_completion_time, bandwidth, iter
A1,8,46118,10M,10.1,216.0,71.0,1.2,1
A1,8,46118,10M,10.2,203.0,55.0,1.55,3
A1,8,5204,10M,8.52,-1,52.61,1.36,0
A1,8,5207,10M,7.67,-1,59.03,1.09,4
A1,8,46110,10M,10.2,119.0,17.0,5.03,32
A1,8,5204,10M,9.12,-1,72.22,1.06,1
A1,8,46118,10M,10.2,489.0,98.0,0.8486328125,2
A1,8,5207,10M,9.0,-1,71.2,1.06,1
A1,8,46116,10M,10.2,545.0,97.0,0.861328125,2
A1,8,46116,10M,10.1,174.0,65.0,1.3,3
A1,8,5207,10M,7.77,-1,58.03,1.12,0
A1,8,5204,10M,7.33,-1,50.54,1.22,4
A1,8,5207,10M,7.74,-1,93.05,0.681640625,2
A1,8,46116,10M,10.2,271.0,72.0,1.19,1
A1,8,46116,10M,10.2,217.0,51.0,1.67,0
A1,8,5207,10M,5.24,-1,55.31,0.7763671875,3
A1,8,46118,10M,10.1,251.0,54.0,1.57,4
A1,8,5206,10M,7.39,-1,53.13,1.17,0
A1,8,5205,10M,7.78,-1,55.51,1.18,4
A1,8,5208,10M,7.72,-1,58.02,1.12,4
A1,8,46124,10M,10.2,204.0,57.0,1.5,4
A1,8,5206,10M,8.62,-1,34.0,2.13,1
A1,8,5206,10M,8.83,-1,64.42,1.15,3
A1,8,46114,10M,10.0,214.0,42.0,2.01,4
A1,8,5206,10M,8.43,-1,99.19,0.6962890625,2
A1,8,5205,10M,8.05,-1,98.56,0.669921875,2
A1,8,46114,10M,10.2,230.0,49.0,1.75,1
A1,8,5208,10M,7.58,-1,94.84,0.654296875,2
A1,8,46124,10M,10.3,153.0,45.0,1.92,3
A1,8,46124,10M,10.3,304.0,94.0,0.8984375,2
A1,8,5208,10M,7.58,-1,46.59,1.36,3
A1,8,46114,10M,10.3,276.0,45.0,1.92,0
A1,8,5205,10M,7.86,-1,56.62,1.16,3
A1,8,5205,10M,9.06,-1,71.27,1.07,1
A1,8,46114,10M,10.2,1225.0,80.0,1.07,2
A1,8,46124,10M,10.1,213.0,60.0,1.41,0
A1,8,5208,10M,8.35,-1,61.31,1.14,1
A1,8,5208,10M,8.67,-1,61.18,1.19,0
A1,8,46124,10M,10.7,292.0,61.0,1.47,1
A1,8,46114,10M,10.3,229.0,68.0,1.27,3
A1,8,5205,10M,8.17,-1,54.23,1.26,0
A1,8,5206,10M,7.65,-1,58.99,1.09,4
A1,8,46112,10M,10.1,652.0,44.0,1.94,2
A1,8,5203,10M,8.39,-1,49.53,1.42,1
A1,8,46122,10M,10.4,271.0,57.0,1.53,0
A1,8,46122,10M,10.2,161.0,70.98,1.2,1
A1,8,5203,10M,8.43,-1,46.04,1.54,0
A1,8,46112,10M,10.4,522.0,35.0,2.49,3
A1,8,46112,10M,10.4,204.0,32.0,2.72,1
A1,8,5203,10M,8.23,-1,80.27,0.83984375,2
A1,8,46122,10M,10.3,107.0,54.0,1.6,3
A1,8,46122,10M,10.2,567.0,92.0,0.9052734375,2
A1,8,5203,10M,9.06,-1,68.43,1.11,3
A1,8,46112,10M,10.2,182.0,30.0,2.86,0
A1,8,46112,10M,10.2,315.0,39.0,2.19,4
A1,8,5203,10M,7.77,-1,42.27,1.54,4
A1,8,46122,10M,10.3,230.0,58.0,1.49,4
A1,8,46122,50M,50.6,1842.0,181.0,2.34,3
A1,8,46112,50M,50.0,1794.0,228.0,1.84,1
A1,8,5203,50M,42.5,-1,395.71,0.880859375,2
A1,8,5203,50M,46.2,-1,465.6,0.8125,3
A1,8,46112,50M,50.1,1554.0,346.0,1.22,0
A1,8,46122,50M,50.8,3344.0,455.0,0.9140625,2
A1,8,46122,50M,50.4,1207.0,404.0,1.05,0
A1,8,46112,50M,50.7,1500.0,126.01,3.38,2
A1,8,5203,50M,47.6,-1,344.43,1.16,1
A1,8,5203,50M,47.3,-1,377.03,1.05,0
A1,8,46112,50M,50.0,1607.0,428.0,0.9580078125,3
A1,8,46122,50M,50.1,936.0,372.0,1.13,1
A1,8,5203,50M,47.0,-1,432.49,0.8896484375,4
A1,8,46122,50M,50.4,1286.0,569.0,0.7265625,4
A1,8,46112,50M,50.0,1053.0,470.0,0.8720703125,4
A1,8,5206,50M,46.4,-1,445.5,0.8525390625,3
A1,8,46114,50M,50.0,1774.0,431.0,0.951171875,4
A1,8,5206,50M,43.1,-1,371.11,0.951171875,2
A1,8,5206,50M,43.1,-1,260.78,1.39,0
A1,8,5208,50M,45.4,-1,504.55,0.736328125,4
A1,8,5205,50M,45.6,-1,560.33,0.6669921875,4
A1,8,46124,50M,50.1,2036.0,503.0,0.8154296875,4
A1,8,5206,50M,45.4,-1,381.96,0.974609375,1
A1,8,46124,50M,50.5,1273.0,390.0,1.09,0
A1,8,5208,50M,45.6,-1,355.06,1.08,1
A1,8,5205,50M,47.8,-1,345.27,1.16,1
A1,8,46114,50M,50.4,3912.0,392.0,1.08,2
A1,8,46114,50M,50.3,1839.0,464.0,0.888671875,3
A1,8,5205,50M,46.0,-1,407.43,0.9248046875,0
A1,8,5208,50M,46.4,-1,391.31,0.9716796875,0
A1,8,46124,50M,50.7,1076.0,353.0,1.2,1
A1,8,5206,50M,47.2,-1,517.34,0.7470703125,4
A1,8,5208,50M,42.7,-1,506.03,0.69140625,2
A1,8,46124,50M,50.2,1439.0,458.0,0.8974609375,3
A1,8,5205,50M,45.4,-1,484.62,0.7666015625,2
A1,8,46114,50M,50.1,1321.0,343.0,1.22,1
A1,8,46114,50M,50.1,1798.0,376.0,1.12,0
A1,8,5205,50M,45.5,-1,445.9,0.8359375,3
A1,8,46124,50M,50.1,2560.0,505.0,0.8125,2
A1,8,5208,50M,45.7,-1,459.55,0.8134765625,3
A1,8,5204,50M,46.1,-1,276.93,1.4,0
A1,8,46118,50M,50.1,1464.0,444.0,0.923828125,3
A1,8,5207,50M,42.4,-1,570.72,0.6083984375,4
A1,8,46118,50M,50.2,2965.0,483.0,0.8515625,2
A1,8,5204,50M,46.7,-1,348.06,1.13,1
A1,8,5204,50M,48.1,-1,472.54,0.8330078125,3
A1,8,46118,50M,51.2,1139.0,406.0,1.06,0
A1,8,46116,50M,50.2,1816.0,547.0,0.7509765625,4
A1,8,46118,50M,50.6,1386.0,344.22,1.23,1
A1,8,5204,50M,44.3,-1,492.29,0.73828125,2
A1,8,5207,50M,44.7,-1,456.27,0.8037109375,2
A1,8,46116,50M,50.1,1586.0,347.0,1.21,1
A1,8,46116,50M,50.1,1811.0,276.0,1.52,0
A1,8,5207,50M,41.8,-1,184.45,1.9,3
A1,8,46118,50M,50.3,1368.0,559.0,0.736328125,4
A1,8,5207,50M,45.9,-1,373.7,1.03,1
A1,8,46116,50M,50.0,2099.0,491.0,0.8349609375,2
A1,8,46116,50M,50.3,1383.0,472.01,0.8720703125,3
A1,8,5207,50M,45.9,-1,405.46,0.927734375,0
A1,8,5204,50M,46.7,-1,548.45,0.697265625,4
A1,8,46110,50M,50.4,3677.0,499.0,0.8271484375,2
A1,8,5201,50M,47.1,-1,354.15,1.12,1
A1,8,46120,50M,50.0,1782.0,260.0,1.61,0
A1,8,5202,50M,43.2,-1,471.97,0.75,4
A1,8,46120,50M,50.4,1144.0,381.01,1.11,1
A1,8,5201,50M,46.3,-1,304.4,1.27,0
A1,8,46110,50M,50.0,1974.0,316.0,1.33,3
A1,8,46110,50M,50.1,1595.0,353.0,1.19,1
A1,8,5201,50M,46.4,-1,500.41,0.759765625,2
A1,8,46120,50M,50.1,1376.0,444.0,0.923828125,3
A1,8,46120,50M,50.0,2954.0,370.0,1.13,2
A1,8,5201,50M,45.0,-1,318.1,1.19,3
A1,8,46110,50M,50.4,1222.0,303.0,1.4,0
A1,8,46110,50M,50.1,1508.0,441.0,0.9306640625,4
A1,8,5202,50M,47.4,-1,430.06,0.90234375,3
A1,8,5202,50M,42.7,-1,127.63,2.8,2
A1,8,5201,50M,47.0,-1,443.34,0.8681640625,4
A1,8,5202,50M,46.6,-1,347.31,1.13,0
A1,8,5202,50M,43.7,-1,229.68,1.6,1
A1,8,46120,50M,50.1,1731.0,515.01,0.7958984375,4
A1,8,46124,100M,101.0,2048.0,671.0,1.26,3
