Step;State;Reward
84; [0.30419921875, 9.0390625, 0.0, 0.30419921875, 0.0, 0.0, 8.2578125, 8.2578125, 0.30419921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];529.6935
85; [0.358642578125, 11.7890625, 0.00011444091796875, 0.3583984375, 0.00011444091796875, 0.00011444091796875, 9.4140625, 9.40625, 0.358154296875, 0.000240325927734375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];698.4132
86; [0.358642578125, 11.7890625, 0.00011444091796875, 0.3583984375, 0.00011444091796875, 0.00011444091796875, 9.4140625, 9.40625, 0.358154296875, 0.000240325927734375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
87; [0.358642578125, 11.7890625, 0.00011444091796875, 0.3583984375, 0.00011444091796875, 0.00011444091796875, 9.4140625, 9.40625, 0.358154296875, 0.000240325927734375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
88; [0.358642578125, 11.7890625, 0.00011444091796875, 0.3583984375, 0.00011444091796875, 0.00011444091796875, 9.4140625, 9.40625, 0.358154296875, 0.000240325927734375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
89; [0.6220703125, 9.4296875, 0.0, 0.6220703125, 0.0, 0.0, 11.8359375, 11.8359375, 0.6220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];937.1842
90; [0.6220703125, 9.4296875, 0.0, 0.6220703125, 0.0, 0.0, 11.8359375, 11.8359375, 0.6220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0
91; [0.25048828125, 12.7421875, 0.0, 0.25048828125, 0.0, 0.0, 9.2890625, 9.28125, 0.25048828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];702.28925
92; [5.1484375, 12.2578125, 0.0, 5.15234375, 0.0, 4.6875, 6.984375, 11.765625, 5.18359375, 4.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 4.77734375];1511.3187
93; [7.28515625, 12.828125, 0.0, 7.2890625, 0.0, 6.6953125, 5.1171875, 11.7578125, 7.265625, 5.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 6.73046875];1734.5262
94; [7.28515625, 12.828125, 0.0, 7.2890625, 0.0, 6.6953125, 5.1171875, 11.7578125, 7.265625, 5.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 6.73046875];0.0
95; [7.28515625, 12.828125, 0.0, 7.2890625, 0.0, 6.6953125, 5.1171875, 11.7578125, 7.265625, 5.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 6.73046875];0.0
96; [8.8125, 10.21875, 0.0, 8.75, 0.0, 8.2734375, 1.072265625, 9.609375, 8.7578125, 8.5390625, 0.0, 0.0, 0.0, 0.0, 0.0, 8.453125];1460.0565
97; [9.3125, 9.5, 11.0703125, 9.3046875, 0.0, 8.3046875, 3.392578125, 18.84375, 9.265625, 8.4921875, 0.0, 0.0, 0.0, 7.00390625, 0.0, 8.4921875];3977.2375
98; [0.6865234375, 11.1171875, 9.828125, 0.6865234375, 0.0, 0.0, 9.5078125, 16.3125, 0.6865234375, 0.0, 0.0, 0.0, 0.0, 6.828125, 0.0, 0.0];1928.18
99; [0.7216796875, 8.03125, 9.7734375, 0.72216796875, 0.0, 0.0, 9.4453125, 23.78125, 0.90234375, 0.0, 0.0, 0.0, 0.0, 9.515625, 0.0, 0.0];3141.7524
100; [0.72998046875, 12.3828125, 12.8203125, 0.72998046875, 0.0001430511474609375, 0.0001430511474609375, 11.8671875, 19.015625, 0.583984375, 0.00011444091796875, 0.00011444091796875, 0.0001430511474609375, 0.0001430511474609375, 11.921875, 0.0001430511474609375, 0.0001430511474609375];2795.7698
101; [9.4296875, 11.796875, 10.0390625, 9.515625, 0.0, 0.0, 9.3125, 17.96875, 9.3125, 0.0, 8.6640625, 0.0, 0.0, 8.6796875, 0.0, 0.0];3531.0374
102; [9.5234375, 11.1015625, 9.2890625, 9.5234375, 0.00011444091796875, 0.00011444091796875, 9.3984375, 18.90625, 10.0390625, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.5, 0.00011444091796875, 0.00011444091796875];3791.2249
103; [10.484375, 0.03753662109375, 12.40625, 10.359375, 1.5478515625, 0.0, 1.025390625, 10.421875, 9.8828125, 0.0, 9.5234375, 0.0, 0.0, 10.765625, 0.0, 0.0];1666.2572
104; [8.25, 0.85009765625, 6.953125, 8.25, 1.2685546875, 0.00011444091796875, 0.85009765625, 10.375, 10.15625, 0.00011444091796875, 9.5234375, 0.00011444091796875, 0.00011444091796875, 10.7890625, 0.00011444091796875, 0.00011444091796875];1443.0809
105; [8.25, 0.85009765625, 6.953125, 8.25, 1.2685546875, 0.00011444091796875, 0.85009765625, 10.375, 10.15625, 0.00011444091796875, 9.5234375, 0.00011444091796875, 0.00011444091796875, 10.7890625, 0.00011444091796875, 0.00011444091796875];0.0
106; [5.015625, 9.984375, 1.1044921875, 5.01171875, 4.51953125, 0.0, 7.76171875, 16.609375, 12.1328125, 0.0, 11.09375, 0.0, 0.0, 8.6640625, 0.0, 0.0];2819.03
107; [1.099609375, 4.5625, 0.291015625, 1.1015625, 8.4296875, 0.0, 6.8203125, 15.7109375, 9.75, 0.0, 8.8515625, 0.0, 0.0, 8.703125, 0.0, 0.0];0.0
108; [9.703125, 10.6796875, 9.109375, 9.734375, 2.140625, 0.0001430511474609375, 8.40625, 19.15625, 11.7734375, 0.0001430511474609375, 10.765625, 0.0001430511474609375, 0.0001430511474609375, 10.7890625, 0.0001430511474609375, 0.0001430511474609375];4032.2046
109; [9.703125, 10.6796875, 9.109375, 9.734375, 2.140625, 0.0001430511474609375, 8.40625, 19.15625, 11.7734375, 0.0001430511474609375, 10.765625, 0.0001430511474609375, 0.0001430511474609375, 10.7890625, 0.0001430511474609375, 0.0001430511474609375];0.0
110; [9.703125, 10.6796875, 9.109375, 9.734375, 2.140625, 0.0001430511474609375, 8.40625, 19.15625, 11.7734375, 0.0001430511474609375, 10.765625, 0.0001430511474609375, 0.0001430511474609375, 10.7890625, 0.0001430511474609375, 0.0001430511474609375];0.0
111; [9.4609375, 9.3125, 10.953125, 9.5078125, 0.0, 0.0, 9.4609375, 18.84375, 10.1953125, 0.0, 9.4296875, 0.0, 0.0, 9.4453125, 0.0, 0.0];3772.7793
112; [9.5078125, 12.0546875, 9.3359375, 9.5234375, 0.00011444091796875, 0.00011444091796875, 9.4765625, 18.90625, 10.2109375, 0.00011444091796875, 9.421875, 0.00011444091796875, 0.00011444091796875, 9.4609375, 0.00011444091796875, 0.00011444091796875];3832.372
113; [9.40625, 11.296875, 9.484375, 9.421875, 0.0, 0.0, 9.484375, 22.203125, 11.2578125, 0.0, 10.3671875, 0.0, 0.0, 10.4140625, 0.0, 0.0];4742.8643
114; [8.5234375, 11.8203125, 8.1640625, 8.5390625, 0.0001430511474609375, 0.0001430511474609375, 11.6875, 19.84375, 8.953125, 0.0001430511474609375, 8.1484375, 0.0001430511474609375, 0.0001430511474609375, 8.1484375, 0.0001430511474609375, 0.0001430511474609375];3861.026
115; [9.484375, 5.11328125, 14.1640625, 9.515625, 0.0, 0.0, 7.66796875, 17.109375, 10.1015625, 0.0, 9.34375, 0.0, 0.0, 9.375, 0.0, 0.0];3262.3823
116; [9.484375, 5.11328125, 14.1640625, 9.515625, 0.0, 0.0, 7.66796875, 17.109375, 10.1015625, 0.0, 9.34375, 0.0, 0.0, 9.375, 0.0, 0.0];0.0
117; [11.703125, 11.390625, 11.28125, 11.703125, 0.0, 0.0, 11.4453125, 23.109375, 12.4609375, 0.0, 11.65625, 0.0, 0.0, 11.6953125, 0.0, 0.0];5544.8105
118; [9.515625, 10.96875, 9.484375, 9.5234375, 0.0, 0.0, 9.3046875, 18.828125, 9.9296875, 0.0, 9.515625, 0.0, 0.0, 9.53125, 0.0, 0.0];3769.6335
119; [11.875, 15.5, 11.7578125, 11.9140625, 0.0, 0.0, 11.65625, 23.5625, 12.4296875, 0.0, 11.9140625, 0.0, 0.0, 11.9140625, 0.0, 0.0];5939.1846
120; [11.8671875, 1.40625, 13.4921875, 11.8671875, 0.0, 0.0, 5.33984375, 17.1875, 12.4296875, 0.0, 11.859375, 0.0, 0.0, 11.8828125, 0.0, 0.0];3467.812
