Step; State; Reward
0; [[0.006405 0.       0.       0.       0.       0.       0.       0.
58; [[ 0.6626 10.016   0.      0.662   0.      0.     11.66   11.66    0.6626
   5.94    5.94    0.      0.      0.      0.      0.    ]]; [1249.4073]
59; [[ 0.6104 10.805   0.      0.61    0.      0.     11.8    11.8     0.61
   6.324   6.324   0.      0.      0.      0.      0.    ]]; [1303.4502]
60; [[0.1998 9.87   0.     0.1998 0.     0.     9.36   9.33   0.1997 4.68
  4.68   0.     0.     0.     0.     0.    ]]; [826.98846]
61; [[2.0020e-01 9.3984e+00 1.1444e-04 2.0007e-01 1.1444e-04 1.1444e-04
  9.3594e+00 9.3516e+00 2.0007e-01 4.3789e+00 4.3789e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [809.46844]
62; [[ 0.4644 12.21    0.      0.4673  0.      0.     11.63   11.586   0.4673
   7.188   7.188   0.      0.      0.      0.      0.    ]]; [1332.4517]
63; [[2.1021e-01 9.6875e+00 1.1444e-04 2.0972e-01 1.1444e-04 1.1444e-04
  9.4219e+00 9.3906e+00 2.0972e-01 5.0742e+00 5.0742e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [847.41455]
64; [[ 0.198 11.336  0.     0.198  0.     0.     9.29   9.28   0.198  4.152
   4.152  0.     0.     0.     0.     0.   ]]; [828.49286]
65; [[3.3472e-01 1.0031e+01 1.1444e-04 3.3447e-01 2.4033e-04 2.4033e-04
  9.3828e+00 9.3516e+00 3.3447e-01 4.1797e+00 4.1797e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [825.4526]
66; [[ 0.4456 15.19    0.      0.466   0.      0.     11.59   11.664   0.467
   7.28    7.28    0.      0.      0.      0.      0.    ]]; [1416.6815]
67; [[4.3672e+00 1.4672e+01 1.4305e-04 4.3750e+00 1.4305e-04 3.9922e+00
  7.6133e+00 1.3484e+01 4.4141e+00 7.9336e+00 3.8750e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 4.0625e+00]]; [2563.6633]
68; [[ 5.066 12.055  0.     5.     0.     4.273  7.562 11.914  4.914 11.914
   7.562  0.     0.     0.     0.     4.285]]; [2633.466]
69; [[7.5898e+00 1.1383e+01 1.1444e-04 7.6094e+00 1.1444e-04 7.2656e+00
  1.9453e+00 9.3516e+00 7.6328e+00 9.3516e+00 1.9453e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 7.4219e+00]]; [2524.825]
70; [[0.4646 7.848  0.     0.475  0.     0.     9.47   9.47   0.475  9.47
  9.47   0.     0.     0.     0.     0.    ]]; [1017.86163]
71; [[2.2461e-01 1.2359e+01 1.1444e-04 2.2485e-01 2.4033e-04 2.4033e-04
  9.4922e+00 9.3438e+00 2.2498e-01 9.3438e+00 9.3438e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1060.402]
72; [[0.1609  8.484   0.      0.1609  0.04483 0.      9.49    9.52    0.2057
  9.484   9.484   0.      0.      0.04483 0.      0.     ]]; [1006.6593]
73; [[2.0032e-01 1.1461e+01 1.1444e-04 2.0007e-01 1.1444e-04 1.1444e-04
  9.4297e+00 9.4062e+00 2.0007e-01 9.4062e+00 9.4062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [1049.7433]
74; [[3.0127e-01 1.0867e+01 0.0000e+00 3.0078e-01 1.1826e-04 0.0000e+00
  9.3984e+00 9.3750e+00 3.0078e-01 9.3750e+00 9.3750e+00 0.0000e+00
  0.0000e+00 1.1826e-04 0.0000e+00 0.0000e+00]]; [1042.959]
75; [[2.5854e-01 1.1281e+01 1.1444e-04 2.5854e-01 2.3270e-04 1.1444e-04
  9.2500e+00 9.3906e+00 2.5879e-01 9.3906e+00 9.3906e+00 1.1444e-04
  1.1444e-04 2.3270e-04 1.1444e-04 1.1444e-04]]; [1046.38]
76; [[ 4.38  10.625  0.     4.594  0.     0.    15.96  11.7    0.353 11.7
  11.7    0.     0.     0.     4.25   0.   ]]; [2537.2844]
77; [[9.4141e+00 3.1885e-01 1.1444e-04 9.9688e+00 1.1444e-04 1.1444e-04
  9.7031e+00 9.4219e+00 5.8496e-01 9.4219e+00 9.4219e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.3906e+00 1.1444e-04]]; [2684.1904]
78; [[9.3750e+00 8.5449e-02 0.0000e+00 9.9688e+00 1.1826e-04 0.0000e+00
  9.4609e+00 9.3750e+00 5.8887e-01 9.3750e+00 9.3750e+00 0.0000e+00
  0.0000e+00 1.1826e-04 9.3750e+00 0.0000e+00]]; [2655.5154]
79; [[1.1828e+01 9.8694e-02 1.4305e-04 1.2578e+01 1.4305e-04 1.4305e-04
  1.1938e+01 1.1844e+01 7.3877e-01 1.1836e+01 1.1836e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.1750e+01 1.4305e-04]]; [4170.232]
80; [[11.7     0.1011  0.     12.25    0.      0.     11.67   11.73    0.684
  11.73   11.73    0.      0.      0.     11.57    0.    ]]; [4070.6943]
81; [[9.37    0.04822 0.      9.836   0.0719  0.      9.42    9.414   0.5356
  9.36    9.414   0.      0.      0.0679  9.41    0.     ]]; [2655.9827]
82; [[13.33    0.0931  0.     13.85    1.136   0.     12.43   15.836   2.498
  14.09   15.836   0.      0.      1.136  12.32    0.    ]]; [6151.628]
83; [[9.5000e+00 2.1448e-01 1.1444e-04 1.0016e+01 1.1444e-04 1.1444e-04
  9.7266e+00 9.5078e+00 5.1123e-01 9.5078e+00 9.5078e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.5078e+00 1.1444e-04]]; [2729.3518]
84; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [2333.9016]
85; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
86; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
87; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
88; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
89; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
90; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
91; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
92; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
93; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
