timeslot;flow_id;packet_count;byte_count;duration_sec;idle_timeout_s;hard_timeout_s;priority
25;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;303704;20044472;25;5;0;1
25;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;291062;19210092;25;5;0;1
25;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1270199;72517269630;25;5;0;1
25;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;303703;20044398;25;5;0;1
25;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1325347;75665718702;25;5;0;1
26;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1600547;91379622702;31;5;0;1
26;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1600547;91379622702;31;5;0;1
26;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;366780;24207488;31;5;0;1
26;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;366779;24207414;31;5;0;1
26;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1600546;91379622628;31;5;0;1
26;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;366779;24207414;31;5;0;1
26;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1600547;91379622702;31;5;0;1
27;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1788199;102097351430;37;5;0;1
27;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1788199;102097351430;37;5;0;1
27;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;409813;27047666;37;5;0;1
27;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;409812;27047592;37;5;0;1
27;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1788198;102097351356;37;5;0;1
27;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;409812;27047592;37;5;0;1
27;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1788199;102097351430;37;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1926180;109978964328;43;5;0;1
28;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;11401;752474;1;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1926180;109978964328;43;5;0;1
28;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;441476;29137424;43;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;49521;2824858946;1;5;0;1
28;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;441475;29137350;43;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1926179;109978964254;43;5;0;1
28;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;11400;752400;1;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;49520;2824858872;1;5;0;1
28;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;441475;29137350;43;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1926180;109978964328;43;5;0;1
28;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;49521;2824858946;1;5;0;1
28;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;11400;752400;1;5;0;1
29;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;54986;3629084;8;5;0;1
29;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;239652;13683760600;8;5;0;1
29;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;54985;3629010;8;5;0;1
29;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;239651;13683760526;8;5;0;1
29;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;239652;13683760600;8;5;0;1
29;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;54985;3629010;8;5;0;1
30;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;96270;6353828;14;5;0;1
30;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;420224;24000765632;14;5;0;1
