Step; State; Reward
69; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
70; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
71; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
72; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
73; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
74; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
75; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
76; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
77; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
78; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
79; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
80; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
81; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
82; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
83; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
84; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
85; [[0.0002403  0.00011444 0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.0002403  0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.]
86; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
87; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
88; [[0.1844 9.72   0.     0.1843 0.     0.     8.9    8.89   0.1843 0.
  0.     0.     0.     0.     0.     0.    ]]; [617.1763]
89; [[1.9397e-01 9.3672e+00 1.1444e-04 1.9385e-01 1.1444e-04 1.1444e-04
  8.8125e+00 8.7891e+00 1.9385e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [601.61957]
90; [[ 0.2034 12.74    0.      0.203   0.      0.      9.17    9.17    0.2031
   0.      0.      0.      0.      0.      0.      0.    ]]; [704.7206]
91; [[ 0.2034 12.74    0.      0.203   0.      0.      9.17    9.17    0.2031
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
92; [[5.0195e-01 1.1133e+01 1.4305e-04 5.0146e-01 1.4305e-04 1.4305e-04
  1.1305e+01 1.1305e+01 5.0146e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [950.0809]
93; [[5.0195e-01 1.1133e+01 1.4305e-04 5.0146e-01 1.4305e-04 1.4305e-04
  1.1305e+01 1.1305e+01 5.0146e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
94; [[5.0195e-01 1.1133e+01 1.4305e-04 5.0146e-01 1.4305e-04 1.4305e-04
  1.1305e+01 1.1305e+01 5.0146e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
95; [[5.0195e-01 1.1133e+01 1.4305e-04 5.0146e-01 1.4305e-04 1.4305e-04
  1.1305e+01 1.1305e+01 5.0146e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
96; [[5.0195e-01 1.1133e+01 1.4305e-04 5.0146e-01 1.4305e-04 1.4305e-04
  1.1305e+01 1.1305e+01 5.0146e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
97; [[0.21 9.68 0.   0.21 0.   0.   9.47 9.47 0.21 0.   0.   0.   0.   0.
  0.   0.  ]]; [679.95264]
98; [[8.102e+00 8.852e+00 9.836e+00 8.117e+00 1.431e-04 1.431e-04 1.179e+01
  1.980e+01 8.742e+00 1.431e-04 8.016e+00 1.431e-04 1.431e-04 8.031e+00
  1.431e-04 1.431e-04]]; [5289.173]
99; [[ 9.49  11.516  9.24   9.53   0.     0.     9.336 18.83   9.91   0.
   9.5    0.     0.     9.54   0.     0.   ]]; [5685.3257]
100; [[ 9.49  11.516  9.24   9.53   0.     0.     9.336 18.83   9.91   0.
   9.5    0.     0.     9.54   0.     0.   ]]; [0.]
101; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [5645.5415]
102; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
103; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
104; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
105; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
106; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
107; [[9.5078e+00 9.3281e+00 9.7734e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.4141e+00 1.8938e+01 1.0164e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
108; [[ 9.47   1.003 10.17   9.51   0.     0.     2.812 12.36   9.836  0.
   9.516  0.     0.     9.52   0.     0.   ]]; [3391.2136]
109; [[ 9.47   1.003 10.17   9.51   0.     0.     2.812 12.36   9.836  0.
   9.516  0.     0.     9.52   0.     0.   ]]; [0.]
110; [[ 9.47   1.003 10.17   9.51   0.     0.     2.812 12.36   9.836  0.
   9.516  0.     0.     9.52   0.     0.   ]]; [0.]
111; [[ 9.47   1.003 10.17   9.51   0.     0.     2.812 12.36   9.836  0.
   9.516  0.     0.     9.52   0.     0.   ]]; [0.]
112; [[1.1891e+01 1.1594e+01 1.2836e+01 1.1891e+01 3.0136e-04 3.0136e-04
  1.1836e+01 2.3703e+01 1.3102e+01 3.0136e-04 1.1859e+01 1.4305e-04
  1.4305e-04 1.1891e+01 1.4305e-04 1.4305e-04]]; [8832.374]
113; [[1.1891e+01 1.1594e+01 1.2836e+01 1.1891e+01 3.0136e-04 3.0136e-04
  1.1836e+01 2.3703e+01 1.3102e+01 3.0136e-04 1.1859e+01 1.4305e-04
  1.4305e-04 1.1891e+01 1.4305e-04 1.4305e-04]]; [0.]
114; [[1.1891e+01 1.1594e+01 1.2836e+01 1.1891e+01 3.0136e-04 3.0136e-04
  1.1836e+01 2.3703e+01 1.3102e+01 3.0136e-04 1.1859e+01 1.4305e-04
  1.4305e-04 1.1891e+01 1.4305e-04 1.4305e-04]]; [0.]
115; [[1.1891e+01 1.1594e+01 1.2836e+01 1.1891e+01 3.0136e-04 3.0136e-04
