snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
348,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
349,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
350,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
351,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
352,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
353,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
354,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
355,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
356,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
357,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
358,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
359,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
360,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
361,1109.2082198,0.0,1109.2085649,0.0,0.0,0.3117251
362,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
363,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
364,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
365,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
366,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
367,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
368,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
369,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
370,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
371,1178.8973882,0.0,1178.8981866,6e-06,0.0,0.3117159
372,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
373,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
374,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
375,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
376,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
377,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
378,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
379,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
380,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
381,1228.9067515,0.0,1228.9057995,6e-06,0.0,0.3255362
382,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
383,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
384,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
385,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
386,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
387,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
388,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
389,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
390,1081.6474407,0.0,1081.6332509,0.0,0.0,0.8618105
391,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
392,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
393,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
394,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
395,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
396,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
397,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
398,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
399,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
400,1469.8582224,0.0,1469.8633338,6e-06,0.0,0.3885725
401,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
402,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
403,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
404,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
405,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
406,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
407,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
408,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
409,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
410,1602.0102247,0.0,1602.0082449,6e-06,0.0,0.4245686
411,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
412,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
413,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
414,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
415,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
416,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
417,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
418,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
419,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
420,1009.8092649,0.0,1010.2464245,0.0,0.0,0.2681631
421,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
422,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
423,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
424,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
425,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
426,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
427,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
428,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
429,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
430,1054.5988533,0.0,1054.1596546,6e-06,0.0,1.2726227
431,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
432,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
433,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
434,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
435,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
436,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
437,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
438,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
439,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
440,1174.9343465,0.0,1174.9339679,6e-06,0.0,0.6593746
441,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
442,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
443,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
444,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
445,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
446,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
447,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
448,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
449,1221.8811755,0.0,1221.8802165,0.0,0.0,0.7653124
450,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
