Step; State; Reward
72; [[9.5, 0.88232421875, 13.09375, 9.515625, 0.0, 0.0, 0.88232421875, 10.3671875, 9.734375, 0.0023097991943359375, 9.484375, 0.0, 0.0, 9.5234375, 0.0, 0.0]]; [1569.298]
73; [[9.5078125, 8.859375, 9.875, 9.5078125, 0.0, 0.0, 7.4375, 16.890625, 10.453125, 0.0, 9.484375, 0.0, 0.0, 9.421875, 0.0, 0.0]]; [3206.5474]
74; [[4.93359375, 10.859375, 2.5625, 4.84765625, 0.0, 0.0, 9.4453125, 12.96875, 4.16015625, 0.0, 3.509765625, 0.0, 0.0, 3.5, 0.0, 0.0]]; [1564.0826]
75; [[4.93359375, 10.859375, 2.5625, 4.84765625, 0.0, 0.0, 9.4453125, 12.96875, 4.16015625, 0.0, 3.509765625, 0.0, 0.0, 3.5, 0.0, 0.0]]; [0.]
76; [[4.93359375, 10.859375, 2.5625, 4.84765625, 0.0, 0.0, 9.4453125, 12.96875, 4.16015625, 0.0, 3.509765625, 0.0, 0.0, 3.5, 0.0, 0.0]]; [0.]
77; [[0.2685546875, 10.0703125, 0.0, 0.26904296875, 0.0, 0.0, 9.53125, 9.5234375, 0.2685546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]; [678.77545]
78; [[7.1875, 8.9609375, 8.5625, 7.234375, 0.0, 0.0, 11.875, 18.875, 7.9296875, 0.0, 7.01171875, 0.0, 0.0, 7.0390625, 0.0, 0.0]]; [3329.701]
79; [[7.1875, 8.9609375, 8.5625, 7.234375, 0.0, 0.0, 11.875, 18.875, 7.9296875, 0.0, 7.01171875, 0.0, 0.0, 7.0390625, 0.0, 0.0]]; [0.]
80; [[11.703125, 13.0625, 11.7578125, 11.7265625, 0.0, 0.0, 11.6484375, 23.34375, 12.546875, 0.0, 11.703125, 0.0, 0.0, 11.7265625, 0.0, 0.0]]; [5728.985]
81; [[11.703125, 13.0625, 11.7578125, 11.7265625, 0.0, 0.0, 11.6484375, 23.34375, 12.546875, 0.0, 11.703125, 0.0, 0.0, 11.7265625, 0.0, 0.0]]; [0.]
82; [[9.515625, 5.4609375, 9.34375, 9.515625, 0.0, 0.0, 7.66015625, 17.171875, 10.1484375, 0.0, 9.484375, 0.0, 0.0, 9.5, 0.0, 0.0]]; [3137.097]
83; [[11.78125, 1.0546875, 11.8984375, 11.78125, 0.0001430511474609375, 0.0001430511474609375, 1.0576171875, 12.8359375, 12.0859375, 0.0001430511474609375, 11.78125, 0.0001430511474609375, 0.0001430511474609375, 11.796875, 0.0001430511474609375, 0.0001430511474609375]]; [2299.734]
84; [[9.515625, 11.8125, 12.7421875, 9.515625, 0.0, 0.0, 9.3359375, 18.8125, 9.9453125, 0.0, 9.5078125, 0.0, 0.0, 9.5078125, 0.0, 0.0]]; [3921.209]
85; [[9.5078125, 11.625, 10.953125, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.390625, 18.875, 10.4140625, 0.00011444091796875, 9.5, 0.00011444091796875, 0.00011444091796875, 9.4921875, 0.00011444091796875, 0.00011444091796875]]; [3881.0117]
86; [[9.5078125, 11.625, 10.953125, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.390625, 18.875, 10.4140625, 0.00011444091796875, 9.5, 0.00011444091796875, 0.00011444091796875, 9.4921875, 0.00011444091796875, 0.00011444091796875]]; [0.]
87; [[11.8046875, 17.125, 10.984375, 11.8046875, 0.0, 0.0, 11.65625, 22.8125, 12.3984375, 0.0, 11.0625, 0.0, 0.0, 11.0234375, 0.0, 0.0]]; [5665.8477]
88; [[9.3671875, 1.1875, 10.7109375, 9.4140625, 0.00011444091796875, 0.00011444091796875, 3.380859375, 12.4296875, 9.5703125, 0.00011444091796875, 9.0234375, 0.00011444091796875, 0.00011444091796875, 9.1015625, 0.00011444091796875, 0.00011444091796875]]; [1930.8096]
