Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
119; [[9.42  0.    8.67  9.37  0.    0.    0.    8.086 8.52  0.    8.086 0.
  0.    8.055 0.    0.   ]]; [2266.3838]
120; [[9.5156e+00 1.7834e-04 1.0078e+01 9.4688e+00 2.4033e-04 2.4033e-04
  1.7834e-04 8.6172e+00 8.9375e+00 3.0518e-04 8.6172e+00 1.1444e-04
  1.1444e-04 8.6094e+00 1.1444e-04 1.1444e-04]]; [2479.0112]
121; [[9.11    0.      9.01    9.1     0.      0.      0.      9.05    9.24
  0.00947 9.05    0.      0.      9.12    0.      0.     ]]; [2475.0864]
122; [[1.1906e+01 1.1279e-01 1.4562e+01 1.1898e+01 1.4305e-04 1.4305e-04
  1.1279e-01 1.2016e+01 1.2188e+01 2.9182e-04 1.1906e+01 1.4305e-04
  1.4305e-04 1.1906e+01 1.4305e-04 1.4305e-04]]; [4347.9595]
123; [[ 9.52     0.05774  9.69     9.52     0.       0.       0.05774  9.58
  10.12     0.       9.52     0.       0.       9.52     0.       0.     ]]; [2749.5493]
124; [[ 9.52     0.05774  9.69     9.52     0.       0.       0.05774  9.58
  10.12     0.       9.52     0.       0.       9.52     0.       0.     ]]; [0.]
125; [[11.9     0.3438 11.18   11.91    0.      0.      0.3438 10.695  10.77
   0.     10.35    0.      0.     10.24    0.      0.    ]]; [3686.1018]
126; [[9.53   0.1317 9.21   9.53   0.     0.     0.1317 9.664  9.74   0.
  9.53   0.     0.     9.53   0.     0.    ]]; [2734.8306]
127; [[9.52   0.0924 9.36   9.52   0.     0.     0.0924 9.61   9.734  0.
  9.52   0.     0.     9.52   0.     0.    ]]; [2728.9543]
128; [[8.45   0.0532 8.97   8.49   0.     0.     0.0532 8.516  8.766  0.
  8.46   0.     0.     8.56   0.     0.    ]]; [2196.2927]
129; [[9.0781e+00 4.6204e-02 7.2188e+00 9.0703e+00 0.0000e+00 0.0000e+00
  4.6204e-02 9.1094e+00 9.6328e+00 1.1826e-04 9.0625e+00 0.0000e+00
  0.0000e+00 9.1172e+00 0.0000e+00 0.0000e+00]]; [2428.9858]
130; [[8.7812e+00 1.2500e+00 1.1141e+01 8.7109e+00 1.1444e-04 1.1444e-04
  1.2500e+00 8.6641e+00 7.7148e+00 1.1444e-04 7.4141e+00 1.1444e-04
  1.1444e-04 7.2305e+00 1.1444e-04 1.1444e-04]]; [2291.0056]
131; [[8.7812e+00 1.2500e+00 1.1141e+01 8.7109e+00 1.1444e-04 1.1444e-04
  1.2500e+00 8.6641e+00 7.7148e+00 1.1444e-04 7.4141e+00 1.1444e-04
  1.1444e-04 7.2305e+00 1.1444e-04 1.1444e-04]]; [0.]
132; [[9.500e+00 8.093e-02 7.391e+00 9.531e+00 0.000e+00 0.000e+00 8.093e-02
  9.406e+00 9.906e+00 6.390e-05 9.320e+00 0.000e+00 0.000e+00 9.297e+00
