agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A_LA,8,46110,500M,500.0,65498.0,3421.0,1.23,1
A_LA,8,46118,500M,501.0,76291.0,2646.0,1.59,4
A_LA,8,46118,500M,500.0,21006.0,2817.2,1.49,1
A_LA,8,46118,500M,501.0,48354.0,3300.99,1.27,0
A_LA,8,46118,500M,501.0,48757.0,2524.0,1.66,2
A_LA,8,46118,500M,500.0,54252.0,3099.0,1.35,3
B_LA,2,46112,10M,10.4,6.0,14.0,6.2,1
B_LA,2,46112,10M,10.8,297.0,16.78,5.41,0
B_LA,2,46112,10M,10.3,88.0,15.71,5.5,2
B_LA,2,46112,10M,11.1,148.0,15.0,6.22,3
B_LA,2,46112,10M,10.2,2.0,15.0,5.68,4
B_LA,2,46110,10M,10.4,0.0,13.0,6.73,2
B_LA,2,46110,10M,10.0,0.0,13.0,6.48,3
B_LA,2,46110,10M,10.0,0.0,11.83,7.12,1
B_LA,2,46110,10M,11.1,0.0,14.0,6.66,0
B_LA,2,46110,10M,11.1,0.0,12.0,7.78,4
B_LA,2,46110,50M,50.5,864.0,54.0,7.84,1
B_LA,2,46110,50M,50.4,344.0,83.0,5.1,0
B_LA,2,46110,50M,50.4,1363.0,64.0,6.61,2
B_LA,2,46110,50M,50.4,555.0,67.0,6.32,3
B_LA,2,46110,50M,50.6,1308.0,111.0,3.83,4
B_LA,2,46112,50M,51.0,542.0,81.0,5.28,2
B_LA,2,46112,50M,51.2,493.0,82.0,5.24,3
B_LA,2,46112,50M,50.7,358.0,58.0,7.33,1
B_LA,2,46112,50M,50.4,556.0,79.0,5.35,0
B_LA,2,46112,50M,50.2,1429.0,123.0,3.42,4
B_LA,2,46112,100M,101.0,2608.0,232.0,3.64,4
B_LA,2,46110,100M,100.0,2434.0,232.0,3.63,4
B_LA,2,46112,100M,100.0,1041.0,149.0,5.64,3
B_LA,2,46110,100M,100.0,2421.0,277.0,3.03,0
B_LA,2,46110,100M,101.0,1900.0,119.0,7.14,1
B_LA,2,46112,100M,101.0,2775.0,171.0,4.96,2
B_LA,2,46112,100M,100.0,6248.0,186.0,4.51,0
B_LA,2,46110,100M,101.0,524.0,160.0,5.3,3
B_LA,2,46110,100M,100.0,1278.0,144.0,5.83,2
B_LA,2,46112,100M,101.0,1619.0,119.0,7.11,1
B_LA,2,46112,200M,201.0,11993.0,254.74,6.61,4
B_LA,2,46110,200M,201.0,9315.0,537.0,3.14,4
B_LA,2,46112,200M,201.0,3704.0,203.0,8.29,2
B_LA,2,46110,200M,201.0,10537.0,278.0,6.06,1
B_LA,2,46110,200M,201.0,12984.0,297.0,5.67,0
B_LA,2,46112,200M,201.0,3400.0,211.08,7.97,3
B_LA,2,46112,200M,200.0,6028.0,362.71,4.63,1
B_LA,2,46110,200M,201.0,7973.0,209.0,8.07,2
B_LA,2,46110,200M,201.0,11391.0,250.0,6.74,3
B_LA,2,46112,200M,201.0,19516.0,957.0,1.76,0
B_LA,2,46112,500M,501.0,23147.0,596.0,7.05,3
B_LA,2,46110,500M,501.0,36886.0,674.5,6.23,0
B_LA,2,46110,500M,501.0,44943.0,574.36,7.31,1
B_LA,2,46112,500M,501.0,39338.0,1114.09,3.77,2
B_LA,2,46112,500M,500.0,44145.0,797.0,5.26,0
B_LA,2,46110,500M,501.0,29448.0,978.0,4.29,3
B_LA,2,46110,500M,501.0,24638.0,1329.0,3.16,2
B_LA,2,46112,500M,501.0,35034.0,800.0,5.25,1
B_LA,2,46112,500M,500.0,25985.0,751.0,5.59,4
