snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"], timestamp
7,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,6464444830,5,221235,13,2019-09-15 17:42:13.940723
7,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,8767836,5,132846,13,2019-09-15 17:42:13.940726
7,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,5315970,5,80545,7,2019-09-15 17:42:13.940729
7,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,3640103190,5,83199,7,2019-09-15 17:42:13.940731
7,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,8767836,5,132846,13,2019-09-15 17:42:13.940733
7,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,5563541482,5,227353,10,2019-09-15 17:42:13.940736
7,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,10192476,5,154206,10,2019-09-15 17:42:13.940738
7,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,6464444904,5,221236,13,2019-09-15 17:42:13.940740
8,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,6669323482,5,151305,13,2019-09-15 17:42:19.952924
8,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,12567494,5,189937,16,2019-09-15 17:42:19.952931
8,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,8501316138,5,293889,16,2019-09-15 17:42:19.952933
8,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,10761626,5,162629,19,2019-09-15 17:42:19.952936
8,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,7733182,5,117169,13,2019-09-15 17:42:19.952938
8,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,9683539086,5,293711,19,2019-09-15 17:42:19.952941
8,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,7733108,5,117168,13,2019-09-15 17:42:19.952943
8,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,6669323408,5,151304,13,2019-09-15 17:42:19.952945
8,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,6669323482,5,151305,13,2019-09-15 17:42:19.952948
8,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,9683539012,5,293710,19,2019-09-15 17:42:19.952950
8,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,10761552,5,162628,19,2019-09-15 17:42:19.952953
8,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,7733034,5,117167,13,2019-09-15 17:42:19.952957
8,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,6669323482,5,151305,13,2019-09-15 17:42:19.952959
8,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,10761552,5,162628,19,2019-09-15 17:42:19.952962
8,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,8501316212,5,293890,16,2019-09-15 17:42:19.952964
8,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,12567420,5,189936,16,2019-09-15 17:42:19.952966
8,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,9683539086,5,293711,19,2019-09-15 17:42:19.952969
9,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,1034543212,5,23654,2,2019-09-15 17:42:25.967273
9,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,1344324,5,20368,2,2019-09-15 17:42:25.967279
9,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,11360152484,5,263630,19,2019-09-15 17:42:25.967282
9,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,14540802,5,216593,22,2019-09-15 17:42:25.967284
9,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,9374310410,5,330745,22,2019-09-15 17:42:25.967287
9,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,2417984,5,36636,5,2019-09-15 17:42:25.967290
9,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,11716118,5,177091,25,2019-09-15 17:42:25.967292
9,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,3278615948,5,81106,5,2019-09-15 17:42:25.967294
9,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,10954180,5,165972,19,2019-09-15 17:42:25.967297
9,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,11039711818,5,326533,25,2019-09-15 17:42:25.967299
9,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,10954106,5,165971,19,2019-09-15 17:42:25.967302
9,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,11360152410,5,263629,19,2019-09-15 17:42:25.967304
9,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,11360152484,5,263630,19,2019-09-15 17:42:25.967307
9,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,3278615874,5,81105,5,2019-09-15 17:42:25.967312
9,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,11039711744,5,326532,25,2019-09-15 17:42:25.967314
9,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,11716044,5,177090,25,2019-09-15 17:42:25.967316
9,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,2417910,5,36635,5,2019-09-15 17:42:25.967318
9,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,10954032,5,165970,19,2019-09-15 17:42:25.967321
9,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,1344324,5,20368,2,2019-09-15 17:42:25.967323
9,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,11360152484,5,263630,19,2019-09-15 17:42:25.967325
9,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,1034543286,5,23655,2,2019-09-15 17:42:25.967327
9,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,11716044,5,177090,25,2019-09-15 17:42:25.967334
9,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,3278615948,5,81106,5,2019-09-15 17:42:25.967338
9,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,9374310484,5,330746,22,2019-09-15 17:42:25.967340
9,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,14540728,5,216592,22,2019-09-15 17:42:25.967342
9,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,11039711818,5,326533,25,2019-09-15 17:42:25.967344
9,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,2417910,5,36635,5,2019-09-15 17:42:25.967347
10,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,4302469944,5,75360,5,2019-09-15 17:42:31.996383
10,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,7085265752,5,155420,8,2019-09-15 17:42:31.996391
10,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,8711970,5,131999,8,2019-09-15 17:42:31.996395
10,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,12408670994,5,281997,25,2019-09-15 17:42:31.996399
10,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,3920804,5,59406,11,2019-09-15 17:42:31.996402
10,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,1135868,5,17210,5,2019-09-15 17:42:31.996405
10,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,8949665266,5,180453,11,2019-09-15 17:42:31.996409
10,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,11232370,5,170187,25,2019-09-15 17:42:31.996411
10,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,11232296,5,170186,25,2019-09-15 17:42:31.996415
10,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,12408670920,5,281996,25,2019-09-15 17:42:31.996418
10,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,1135868,5,17210,5,2019-09-15 17:42:31.996420
10,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,4302469870,5,75359,5,2019-09-15 17:42:31.996423
10,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,4302469944,5,75360,5,2019-09-15 17:42:31.996426
10,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,12408670994,5,281997,25,2019-09-15 17:42:31.996429
10,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,8949665192,5,180452,11,2019-09-15 17:42:31.996432
10,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,3920730,5,59405,11,2019-09-15 17:42:31.996435
